# NGC 3603, centered at RA=168.78120, DEC=-61.261175
# ID           RA             DEC
     847   168.7481150    -61.260011
     848   168.7365037    -61.270178
     849   168.8296433    -61.269491
     850   168.7556277    -61.273952
     851   168.8041805    -61.264187
     852   168.8048377    -61.268811
     853   168.8232667    -61.269550
     854   168.7643067    -61.248826
     855   168.7698969    -61.265206
     856   168.7741454    -61.245859
     857   168.7584439    -61.279721
     858   168.7819166    -61.261122
     859   168.7448124    -61.263006
     860   168.7299314    -61.261404
     861   168.7348614    -61.271390
     862   168.7674276    -61.258880
     863   168.7482330    -61.254811
     864   168.7874771    -61.266843
     865   168.7753239    -61.244652
     866   168.8254277    -61.259354
     867   168.7699686    -61.271159
     868   168.8016845    -61.278554
     869   168.7944816    -61.280541
     870   168.7883133    -61.262285
     871   168.7309670    -61.259592
     872   168.8229510    -61.255167
     873   168.7425086    -61.253013
     874   168.7905624    -61.274287
     875   168.7484031    -61.256533
     876   168.7984144    -61.250585
     877   168.8104865    -61.264460
     878   168.8279347    -61.262765
     879   168.8049154    -61.255089
     880   168.8146558    -61.259504
     881   168.7597697    -61.273726
     882   168.7582817    -61.267880
     883   168.7781059    -61.261913
     884   168.7251433    -61.265428
     885   168.7643191    -61.253824
     886   168.7870916    -61.266666
     887   168.7851113    -61.275487
     888   168.7886056    -61.269090
     889   168.8332073    -61.262366
     890   168.7564426    -61.244227
     891   168.7942661    -61.277861
     892   168.7839968    -61.259271
     893   168.7322501    -61.250749
     894   168.8058445    -61.260987
     895   168.7769943    -61.260496
     896   168.7964885    -61.257076
     897   168.8227277    -61.265226
     898   168.7856009    -61.258294
     899   168.7707274    -61.249825
     900   168.8116562    -61.272452
     901   168.7615384    -61.284516
     902   168.7868405    -61.243964
     903   168.7540959    -61.275401
     904   168.7402094    -61.271712
     905   168.8139906    -61.271373
     906   168.7428383    -61.273389
     907   168.7586844    -61.259063
     908   168.7972970    -61.244257
     909   168.8106531    -61.264229
     910   168.7755388    -61.263552
     911   168.7473094    -61.271050
     912   168.8102395    -61.266705
     913   168.7531428    -61.268000
     914   168.7325742    -61.249622
     915   168.7759730    -61.243891
     916   168.7761289    -61.233952
     917   168.7652409    -61.265276
     918   168.7636312    -61.254281
     919   168.7930169    -61.275784
