# This target list is based on HST GLASS observations of M1149
# My program makes use of up to 4 MSA configurations. Thus,
# I expect to be able to observe up to 200 targets. A list of 817 
# targets is needed to make sure enough targets are available and
# optimally placed for any orientation. 
#
# The targets were selected on the basis of the following criteria:
# continuum observations: zphot > 2, 22 < m160 < 25.5
# emission lines : zphot > 3, m160> 25
#
# I plan to include at APT submission a filler list if necessary
# to make sure that no slitlets are left behind
#
# the columns are a target id, RA in HMS, Dec in DMS, photo-z, mag in F160W and mag error
#
#         id         RAh         RAm         RAs        DECd        DECm        DECs       zphot         mag        emag
#
         836          11          49       36.39          22          24        25.8       3.355       27.16     0.03357
         848          11          49       38.26          22          24       29.53       5.612       26.68     0.03268
         856          11          49       38.58          22          24       29.51        3.22       27.12     0.09979
         857          11          49       31.82          22          24       29.48       3.916        28.5      0.1604
         858          11          49       32.18          22          24       29.05       4.351       26.52     0.03534
         860          11          49       37.76          22          24       32.52       4.434        28.4      0.1445
         862          11          49       32.42          22          24       29.23       4.387       28.08      0.1086
         863          11          49       31.88          22          24       32.18       5.028       27.82     0.08967
         865          11          49       34.04          22          24       27.71       3.931       27.35     0.06264
         866          11          49       40.11          22          24       29.03        4.33       26.86     0.05235
         869          11          49       36.97          22          24       29.02       4.174       28.65        0.18
         871          11          49       38.63          22          24        19.3       4.867       23.89      0.0148
         872          11          49       38.32          22          24       28.25       3.704       26.64     0.06116
         876          11          49       29.98          22          24       28.48       3.271       25.95      0.1298
         880          11          49       31.76          22          24       27.21       4.465       26.44     0.05869
         882          11          49       31.99          22          24        26.5       2.318        25.4     0.02291
         884          11          49       32.09          22          24       22.35       3.772       25.78      0.0203
         886          11          49        31.7          22          24       27.03       2.375       25.15    0.009523
         896          11          49       40.11          22          24       28.23       5.274       27.63     0.09799
         906          11          49       40.01          22          24        27.2       3.059       27.46      0.1003
         912          11          49       34.38          22          24       26.94       3.957       27.48     0.06347
         915          11          49       33.71          22          24       26.11       4.235       27.22     0.05332
         916          11          49       30.45          22          24       29.12       3.838        25.9     0.08855
         919          11          49       33.59          22          24       26.61       5.331       28.17       0.121
         924          11          49       40.48          22          24       26.11       4.112       27.29      0.1231
         928          11          49       32.58          22          24       25.61       3.175       26.28     0.02262
         930          11          49       31.36          22          24       25.49       3.989       26.74     0.05503
         932          11          49       36.53          22          24       25.54       4.843       27.89      0.1025
         937          11          49       37.82          22          24       25.33       3.367       26.28     0.03042
         939          11          49       30.01          22          24       25.27       4.198       25.87     0.07049
         945          11          49       33.61          22          24       24.56       5.851       27.39     0.07111
         948          11          49       36.38          22          24       24.42       3.933       27.78     0.08082
         950          11          49       30.42          22          24       24.19       3.005       25.43     0.04392
         951          11          49       30.95          22          24       24.27       5.081       27.83      0.1218
