#ID                             RA                DEC
HST3D_9919               53.1236190 -27.86317200
HST3D_10005              53.0677610 -27.86247400
HST3D_10139              53.0705820 -27.86190100
HST3D_10231              53.0881740 -27.86152000
HST3D_10312              53.0996380 -27.86114900
HST3D_10360              53.1111610 -27.86093300
HST3D_10434              53.1129530 -27.86063100
HST3D_10474              53.1026200 -27.86062900
HST3D_10526              53.0769050 -27.86027500
HST3D_10586              53.1124020 -27.86005300
HST3D_10601              53.0981190 -27.86000200
HST3D_10610              53.0939200 -27.86012400
HST3D_10621              53.0820020 -27.85983700
HST3D_10622              53.0685490 -27.86003700
HST3D_10630              53.0821080 -27.85981000
HST3D_10690              53.1172780 -27.85950000
HST3D_10748              53.1067860 -27.85935600
HST3D_10779              53.0746980 -27.85909000
HST3D_10872              53.0859910 -27.85900100
HST3D_10896              53.0858790 -27.85864900
HST3D_10916              53.0859790 -27.85857500
HST3D_10952              53.0762030 -27.85843000
HST3D_11098              53.0933180 -27.85777900
HST3D_11101              53.1043320 -27.85791500
HST3D_11106              53.0930370 -27.85776700
HST3D_11186              53.1023350 -27.85754400
HST3D_11224              53.1162000 -27.85728400
HST3D_11310              53.0817120 -27.85689900
HST3D_11313              53.1423540 -27.85688700
HST3D_11338              53.1163090 -27.85711000
HST3D_11404              53.1168250 -27.85650000
HST3D_11429              53.1461760 -27.85627900
HST3D_11432              53.0612530 -27.85625500
HST3D_11453              53.1221200 -27.85619100
HST3D_11459              53.1222360 -27.85620400
HST3D_11461              53.0943980 -27.85617200
HST3D_11485              53.1197840 -27.85680300
HST3D_11505              53.0701160 -27.85596300
HST3D_11528              53.0945860 -27.85624700
HST3D_11529              53.1212480 -27.85587800
HST3D_11553              53.0749130 -27.85576300
HST3D_11558              53.1454230 -27.85574000
